rank,name,mark,author,publisher,year,price,url,img_url
1,红楼梦,9.6,曹雪芹,人民文学出版社,1996,59.7,https://book.douban.com/subject/26286495/,https://th.bing.com/th/id/R.58d3477deb490e6922cf47a8a6eb93d9?rik=PJ1i6hFBlZ5N1A&riu=http%3a%2f%2fimg11.360buyimg.com%2fpopWaterMark%2fjfs%2ft1225%2f196%2f559267549%2f360692%2fa9d114d6%2f5537ed50Nf802d69a.jpg&ehk=VG6f19ATGpuYCL00fHOmAj3riItkyEv%2bthqkfv7rfMo%3d&risl=&pid=ImgRaw&r=0
2,活着,9.4,余华,作家出版社,2012,20.00,https://book.douban.com/subject/4913064/,https://th.bing.com/th/id/OIP.XzHXE6sSi9RwXy00Hl771AHaKy?rs=1&pid=ImgDetMain
3,百年孤独,9.3,加西亚·马尔克斯,南海出版公司,2011,39.5,https://book.douban.com/subject/6082808/,https://th.bing.com/th/id/OIP.XzHXE6sSi9RwXy00Hl771AHaKy?rs=1&pid=ImgDetMain
4,1984,9.4,乔治·奥威尔,北京十月文艺出版社,2010,28,https://book.douban.com/subject/4820710/,https://th.bing.com/th/id/OIP.Z5KLQbybGAxlM5JdjOWeWwAAAA?rs=1&pid=ImgDetMain
5,飘,9.3,玛格丽特·米切尔,译林出版社,2000,40,https://book.douban.com/subject/1068920/,https://p1.ssl.qhimg.com/dr/220__/t019ff0230f5c13a577.jpg
6,三体全集,9.4,刘慈欣,重庆出版社,2012,168,https://book.douban.com/subject/6518605/,https://cbu01.alicdn.com/img/ibank/2016/508/860/2932068805_992660530.310x310.jpg
7,三国演义（全二册）,9.3,罗贯中,人民文学出版社,1998,39.5,https://book.douban.com/subject/1019568/,https://gd-hbimg.huaban.com/2ea8a9c3a7934a7b405b9baa1763e88fd744b45b70622-OZBFJs_fw658
8,白夜行,9.1,东野圭吾,南海出版公司,2008,29.8,https://book.douban.com/subject/3259440/,https://img1.doubanio.com/lpic/s24514468.jpg
9,小王子,9,安东尼·德·圣-埃克苏佩里,人民文学出版社,2003,22,https://book.douban.com/subject/1084336/,https://th.bing.com/th/id/R.a69cdba14556c5074b3eb6bd15915bc6?rik=u6TMC9tYiP3ZJg&riu=http%3a%2f%2fwww.magicstoryhouse.com%2fimages%2f201511%2fgoods_img%2f4715_P_1448598907630.jpg&ehk=C68HTGgXlZAlpgWO6s%2f6ibfp6UsO7GVeINRHMMm7FRA%3d&risl=&pid=ImgRaw&r=0
10,福尔摩斯探案全集（上中下）,9.3,阿瑟·柯南·道尔,群众出版社,1981,68,https://book.douban.com/subject/1040211/,https://th.bing.com/th/id/OIP.BJtmrzm8vbaeCbr2vLJozwHaHa?rs=1&pid=ImgDetMain
11,房思琪的初恋乐园,9.2,林奕含,北京联合出版公司,2018,45,https://book.douban.com/subject/27614904/,https://pic3.zhimg.com/v2-34a63ac2659943f457ad33691d967b56_r.jpg
12,动物农场,9.3,乔治·奥威尔,上海译文出版社,2007,10,https://book.douban.com/subject/2035179/,https://th.bing.com/th/id/OIP.FqApr8-EGGR95RqlmBM_AAHaHa?rs=1&pid=ImgDetMain
13,撒哈拉的故事,9.2,三毛,哈尔滨出版社,2003,15.8,https://book.douban.com/subject/1060068/,https://img.alicdn.com/bao/uploaded/i2/T1hrpRFsxbXXXXXXXX_!!0-item_pic.jpg
14,天龙八部,9.1,金庸,生活·读书·新知三联书店,1994,96,https://book.douban.com/subject/1255625/,https://pic1.zhimg.com/50/v2-ebded6c60c1bd6052a9cd6f8e88f37cf_720w.jpg?source=54b3c3a5
15,安徒生童话故事集,9.2,安徒生,人民文学出版社,1997,25,https://book.douban.com/subject/1046209/,https://th.bing.com/th/id/OIP.Eyb8OteU32zPN6syjDAdWQHaHa?rs=1&pid=ImgDetMain
16,平凡的世界（全三部）,9,路遥,人民文学出版社,2005,64,https://book.douban.com/subject/1200840/,https://th.bing.com/th/id/OIP.6nq8Sn1W_15F_2GkOrn33wHaHa?rs=1&pid=ImgDetMain
17,围城,8.9,钱钟书,人民文学出版社,1991,19,https://book.douban.com/subject/1008145/,https://th.bing.com/th/id/R.c053b8967c45d1b64f401f02d5153aa8?rik=XY5zrWQf%2bHBMsA&riu=http%3a%2f%2flib.bjtu.edu.cn%2fsites%2fdefault%2ffiles%2f2019-03%2f%e5%9b%be%e7%89%875_5.png&ehk=UP7zYKwud2w5Qe%2bCMKBACfJdeXlquhRJkJo1oR2rT84%3d&risl=&pid=ImgRaw&r=0
18,霍乱时期的爱情,9,加西亚·马尔克斯,南海出版公司,2012,39.5,https://book.douban.com/subject/10594787/,https://th.bing.com/th/id/OIP.VB8UihL0f1K2DLFlSXwwRgHaHa?rs=1&pid=ImgDetMain
19,局外人,9,阿尔贝·加缪,上海译文出版社,2010,22,https://book.douban.com/subject/4908885/,https://th.bing.com/th/id/R.e2dfa67cd77d22c241225a9d3dfda637?rik=K6jcRHUhivlAIg&riu=http%3a%2f%2fimage12.bookschina.com%2f2019%2f20191217%2f1%2f8232213.jpg&ehk=SWCxysKzulN2gZAxR2v6Q4pe0fhPBM%2b%2faMjCUzBG89Y%3d&risl=&pid=ImgRaw&r=0
20,明朝那些事儿（1-9）,9.1,当年明月,中国海关出版社,2009,358.2,https://book.douban.com/subject/3674537/,https://th.bing.com/th/id/R.c5f46fe2b9993c3a7489229faa3a80d7?rik=dQj6SEnIL4BCNg&riu=http%3a%2f%2f23863351.s21i.faiusr.com%2f2%2fABUIABACGAAgsrzI4QUomvK22QYwrgM4rgM!400x400.jpg&ehk=5RR8M7GnvANMp7bB71G7dcGg1lLDF9%2f8VIFR%2b3kenb8%3d&risl=&pid=ImgRaw&r=0
21,沉默的大多数,9.1,王小波,中国青年出版社,1997,27,https://book.douban.com/subject/1054685/,https://th.bing.com/th/id/R.e4a631387fdc1832eb3cbb1e9eca79ed?rik=hO3zA6jnzCeGFQ&riu=http%3a%2f%2fimage31.bookschina.com%2f2017%2fzuo%2f8%2f7487179.jpg&ehk=TSqN0Zgf2PfGYCZXL30ikELJY3bBz0tWqZWRrtmN7OU%3d&risl=&pid=ImgRaw&r=0
22,追风筝的人,8.9,卡勒德·胡赛尼,上海人民出版社,2006,29,https://book.douban.com/subject/1770782/,https://th.bing.com/th/id/OIP.UKaj6uCCYRosbS9bBIv-SwHaHa?rs=1&pid=ImgDetMain
23,人类简史,9.1,尤瓦尔·赫拉利,中信出版社,2014,68,https://book.douban.com/subject/25985021/,https://th.bing.com/th/id/R.6a59f4506d0d1360dee3a43f671bfa39?rik=REn2jP5nPr7plg&riu=http%3a%2f%2fimage12.bookschina.com%2f2020%2f20200706%2f3%2f8300931.jpg&ehk=mgiEaODPL1CVJRXhUQQhTiik8p9C2e%2fMX892Hrn7vrE%3d&risl=&pid=ImgRaw&r=0
24,哈利·波特,9.7,J.K.罗琳,人民文学出版社,2008,498,https://book.douban.com/subject/24531956/,https://img.alicdn.com/imgextra/i2/901499946/O1CN01XWyS262NLJmNiRqf8_!!901499946.jpg
25,月亮和六便士,9,威廉·萨默塞特·毛姆,上海译文出版社,2006,15,https://book.douban.com/subject/1858513/,https://th.bing.com/th/id/R.b716d4cdd15d8fbc777399fd3f4ccd38?rik=QIPbC9zZ6BFi7g&riu=http%3a%2f%2fimage12.bookschina.com%2f2021%2f20210610%2f1%2f8173784.jpg&ehk=5cG992MzGY3oySthfVndbk%2bYzssAV%2fau8Up%2b4Wh32Ro%3d&risl=&pid=ImgRaw&r=0
26,冰与火之歌（卷一）,9.3,乔治·R·R·马丁,重庆出版社,2005,68,https://book.douban.com/subject/1336330/,https://netshopimg.oss-cn-beijing.aliyuncs.com/images/0/2020/08/26/goods_img/i56b53009ef352372c280ec6336d12aac.jpg
27,肖申克的救赎,9.1,斯蒂芬·金,人民文学出版社,2006,29.9,https://book.douban.com/subject/1829226/,https://th.bing.com/th/id/OIP.vzaZlSNPoFUW372eQGVxYQHaK_?rs=1&pid=ImgDetMain
28,笑傲江湖（全四册）,9,金庸,生活·读书·新知三联书店,1994,76.8,https://book.douban.com/subject/1002299/,https://img12.360buyimg.com/n0/jfs/t1/168836/4/20083/346601/60812b79E02e9dd88/5234fa41f928ead1.jpg
29,基督山伯爵,9,大仲马,上海译文出版社,1991,43.9,https://book.douban.com/subject/1085860/,https://th.bing.com/th/id/R.6277f0212fff2f8294056bf3106b1dc3?rik=Dk6XHdITlqyyPA&riu=http%3a%2f%2fimage12.bookschina.com%2f2018%2f20180925%2f1%2f7832334.jpg&ehk=1B6eHvYrxUeRgtrqtiYZ2k04Y%2fY6twtaFFf6n4xY6IA%3d&risl=&pid=ImgRaw&r=0
30,杀死一只知更鸟,9.2,哈珀·李,译林出版社,2012,32,https://book.douban.com/subject/6781808/,https://th.bing.com/th/id/OIP.d-4MJSsI7mslsvIMOCGGVwHaLo?rs=1&pid=ImgDetMain
31,呐喊,9,鲁迅,人民文学出版社,1973,0.36,https://book.douban.com/subject/1449351/,https://th.bing.com/th/id/OIP.2jiKpZ7UwkXYxMR5s1UWbgHaHa?rs=1&pid=ImgDetMain
32,万历十五年,8.9,黄仁宇,生活·读书·新知三联书店,1997,18,https://book.douban.com/subject/1041482/,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg
33,嫌疑人X的献身,8.9,东野圭吾,南海出版公司,2008,28,https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg
34,东方快车谋杀案,9,阿加莎·克里斯蒂,人民文学出版社,2006,18,https://book.douban.com/subject/1827374/,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg
35,中国历代政治得失,9.2,钱穆,生活·读书·新知三联书店,2001,12,https://book.douban.com/subject/1003479/,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg
36,江城,9.1,彼得·海斯勒,上海译文出版社,2012,36,https://book.douban.com/subject/7060185/,https://img9.doubanio.com/view/subject/s/public/s32271204.jpg
37,新名字的故事,9.1,埃莱娜·费兰特,人民文学出版社,2017,59,https://book.douban.com/subject/26986954/,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg
38,傲慢与偏见,8.9,简·奥斯汀,人民文学出版社,1993,13,https://book.douban.com/subject/1083428/,https://img2.doubanio.com/view/subject/s/public/s4250062.jpg
39,寻路中国,9,彼得·海斯勒,上海译文出版社,2011,33,https://book.douban.com/subject/5414391/,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg
40,失踪的孩子,9.2,埃莱娜·费兰特,人民文学出版社,2018,62,https://book.douban.com/subject/30172069/,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg
41,射雕英雄传（全四册）,9,金庸,生活·读书·新知三联书店,1999,47,https://book.douban.com/subject/1044547/,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg
42,黄金时代,8.9,王小波,花城出版社,1999,19,https://book.douban.com/subject/1089243/,https://img2.doubanio.com/view/subject/s/public/s1076372.jpg
43,刀锋,9,毛姆,上海译文出版社,2007,18,https://book.douban.com/subject/2035162/,https://img2.doubanio.com/view/subject/s/public/s2347562.jpg
44,格林童话全集,9,格林兄弟,人民文学出版社,1994,21.45,https://book.douban.com/subject/1043008/,https://img2.doubanio.com/view/subject/s/public/s1134341.jpg
45,无人生还,8.9,阿加莎·克里斯蒂,人民文学出版社,2008,19,https://book.douban.com/subject/3006581/,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg
46,乡土中国,9.2,费孝通,上海人民出版社,2006,38,https://book.douban.com/subject/1795079/,https://img3.doubanio.com/view/subject/s/public/s1762210.jpg
47,城南旧事,9,林海音,中国青年出版社,2003,16,https://book.douban.com/subject/1254588/,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg
48,我与地坛,9.1,史铁生,春风文艺出版社,2002,25,https://book.douban.com/subject/1209899/,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg
49,白鹿原,9.2,陈忠实,人民文学出版社,2012,39,https://book.douban.com/subject/10564071/,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg
50,历史深处的忧虑,9,林达,生活·读书·新知三联书店,1997,19,https://book.douban.com/subject/1027191/,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg
51,看见,8.8,柴静,广西师范大学出版社,2013,39.8,https://book.douban.com/subject/20427187/,https://img1.doubanio.com/view/subject/s/public/s24514758.jpg
52,神雕侠侣,8.9,金庸,生活·读书·新知三联书店,1994,76.8,https://book.douban.com/subject/1255624/,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg
53,许三观卖血记,8.8,余华,南海出版公司,1998,16.8,https://book.douban.com/subject/1029791/,https://img2.doubanio.com/view/subject/s/public/s1074291.jpg
54,灿烂千阳,8.8,卡勒德·胡赛尼,上海人民出版社,2007,28,https://book.douban.com/subject/2143732/,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg
55,朝花夕拾,8.9,鲁迅,人民文学出版社,1972,0.25,https://book.douban.com/subject/1449352/,https://img2.doubanio.com/view/subject/s/public/s2875823.jpg
56,悲惨世界（上中下）,9,维克多·雨果,人民文学出版社,1992,66,https://book.douban.com/subject/1205054/,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg
57,野草,9.4,鲁迅,人民文学出版社,1973,0.2,https://book.douban.com/subject/1915958/,https://img1.doubanio.com/view/subject/s/public/s2364689.jpg
58,哭泣的骆驼,8.9,三毛,哈尔滨出版社,2003,15.8,https://book.douban.com/subject/1029111/,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg
59,史记（全十册）,9.5,司马迁,中华书局,1982,125,https://book.douban.com/subject/1077847/,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg
60,彷徨,9.1,鲁迅,人民文学出版社,1973,0.37,https://book.douban.com/subject/1449348/,https://img9.doubanio.com/view/subject/s/public/s33500305.jpg
61,文学回忆录,9.1,木心口述,广西师范大学出版社,2013,98,https://book.douban.com/subject/20440644/,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg
62,窗边的小豆豆,8.7,黑柳彻子著,南海出版公司,2003,20,https://book.douban.com/subject/1007914/,https://img2.doubanio.com/view/subject/s/public/s1067911.jpg
63,邓小平时代,9.2,傅高义,生活·读书·新知三联书店,2013,88,https://book.douban.com/subject/20424526/,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg
64,浪潮之巅,9,吴军,电子工业出版社,2011,55,https://book.douban.com/subject/6709783/,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg
65,西游记（全二册）,8.9,吴承恩,人民文学出版社,2004,47.2,https://book.douban.com/subject/1029553/,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg
66,我们仨,8.7,杨绛,生活·读书·新知三联书店,2003,18.8,https://book.douban.com/subject/1023045/,https://img2.doubanio.com/view/subject/s/public/s1015872.jpg
67,上帝掷骰子吗,9.2,曹天元,辽宁教育出版社,2006,32,https://book.douban.com/subject/1467022/,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg
68,树上的男爵,9.1,伊塔洛·卡尔维诺,译林出版社,2012,30,https://book.douban.com/subject/6789605/,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg
69,艺术的故事,9.6,E·H·贡布里希,广西美术出版社,2008,280,https://book.douban.com/subject/3162991/,https://img2.doubanio.com/view/subject/s/public/s3219163.jpg
70,中国少年儿童百科全书（全四册）,9.4,林崇德主编,浙江教育出版社,1991,168,https://book.douban.com/subject/1028409/,https://img3.doubanio.com/view/subject/s/public/s1463970.jpg
71,卡拉马佐夫兄弟,9.4,费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006,25,https://book.douban.com/subject/1856494/,https://img2.doubanio.com/view/subject/s/public/s2059791.jpg
72,台北人,8.9,白先勇,广西师范大学出版社,2010,38,https://book.douban.com/subject/5337248/,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg
73,爱你就像爱生命,8.8,李银河,上海锦绣文章出版社,2008,18,https://book.douban.com/subject/3071717/,https://img2.doubanio.com/view/subject/s/public/s4661043.jpg
74,诗经,9.4,孔丘,北京出版社,2006,19.9,https://book.douban.com/subject/1883245/,https://img2.doubanio.com/view/subject/s/public/s1979223.jpg
75,道德经,9.4,黄元吉,陕西人民出版社,1996,4.5,https://book.douban.com/subject/1059258/,https://img2.doubanio.com/view/subject/s/public/s1045431.jpg
76,悉达多,9,赫尔曼·黑塞,上海人民出版社,2009,20,https://book.douban.com/subject/3406401/,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg
77,永恒的终结,9,艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014,32,https://book.douban.com/subject/25829693/,https://img3.doubanio.com/view/subject/s/public/s29555070.jpg
78,人间词话,9,王国维,上海古籍出版社,1998,9.8,https://book.douban.com/subject/1203426/,https://img1.doubanio.com/view/subject/s/public/s9130587.jpg
79,这些人，那些事,8.8,吴念真,译林出版社,2011,28,https://book.douban.com/subject/6388661/,https://img2.doubanio.com/view/subject/s/public/s6828981.jpg
80,飞鸟集,8.9,拉宾德拉纳特·泰戈尔,哈尔滨出版社,2004,16.8,https://book.douban.com/subject/1058661/,https://img2.doubanio.com/view/subject/s/public/s1044902.jpg
81,基地,9.2,艾萨克·阿西莫夫,天地出版社,2005,21,https://book.douban.com/subject/1258490/,https://img2.doubanio.com/view/subject/s/public/s1328663.jpg
82,教父,9,马里奥·普佐,译林出版社,1997,23.3,https://book.douban.com/subject/1092335/,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg
83,边城,8.7,沈从文,北岳文艺出版社,2002,12,https://book.douban.com/subject/1057244/,https://img1.doubanio.com/view/subject/s/public/s1595557.jpg
84,罗杰疑案,9.2,阿加莎·克里斯蒂,新星出版社,2013,28,https://book.douban.com/subject/21371175/,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg
85,唐诗三百首,9.4,蘅塘退士,中华书局,1998,0.65,https://book.douban.com/subject/1013267/,https://img1.doubanio.com/view/subject/s/public/s1008848.jpg
86,巨人的陨落,8.9,肯·福莱特,江苏凤凰文艺出版社,2016,129.8,https://book.douban.com/subject/26698660/,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg
87,鹿鼎记（全五册）,8.8,金庸,广州出版社花城出版社,2008,108,https://book.douban.com/subject/1212893/,https://img3.doubanio.com/view/subject/s/public/s3134040.jpg
88,梦里花落知多少,8.8,三毛,北京十月文艺出版社,2007,28,https://book.douban.com/subject/2070844/,https://img2.doubanio.com/view/subject/s/public/s2393243.jpg
89,故事新编,9.4,鲁迅,人民文学出版社,1973,0.31,https://book.douban.com/subject/2046909/,https://img9.doubanio.com/view/subject/s/public/s2364685.jpg
90,海子的诗,8.9,海子,人民文学出版社,1999,15.4,https://book.douban.com/subject/1011754/,https://img2.doubanio.com/view/subject/s/public/s1067491.jpg
91,鼠疫,9,阿尔贝·加缪,上海译文出版社,2013,34,https://book.douban.com/subject/24257229/,https://img2.doubanio.com/view/subject/s/public/s27003191.jpg
92,看不见的城市,8.8,伊塔洛·卡尔维诺,译林出版社,2006,16,https://book.douban.com/subject/1863930/,https://img3.doubanio.com/view/subject/s/public/s1804710.jpg
93,斯通纳,8.8,约翰·威廉斯,上海人民出版社,2016,49,https://book.douban.com/subject/26425831/,https://img2.doubanio.com/view/subject/s/public/s28332051.jpg
94,呼兰河传,8.9,萧红,百花文艺出版社,2005,19,https://book.douban.com/subject/1060852/,https://img3.doubanio.com/view/subject/s/public/s1167060.jpg
95,时间简史,8.8,史蒂芬·霍金,湖南科学技术出版社,2010,45,https://book.douban.com/subject/1034282/,https://img2.doubanio.com/view/subject/s/public/s1914861.jpg
96,一个陌生女人的来信,8.7,斯蒂芬·茨威格,上海译文出版社,2007,20,https://book.douban.com/subject/2154960/,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg
97,最好的告别,9,阿图·葛文德,浙江人民出版社,2015,49.9,https://book.douban.com/subject/26576861/,https://img1.doubanio.com/view/subject/s/public/s28260907.jpg
98,人生的枷锁,9,威廉·萨默塞特·毛姆,上海译文出版社,2007,32,https://book.douban.com/subject/2035171/,https://img1.doubanio.com/view/subject/s/public/s3983958.jpg
99,一个叫欧维的男人决定去死,9,弗雷德里克·巴克曼,四川文艺出版社,2015,35,https://book.douban.com/subject/26672693/,https://img3.doubanio.com/view/subject/s/public/s29071620.jpg
100,陆犯焉识,8.8,严歌苓,作家出版社,2011,35,https://book.douban.com/subject/6880158/,https://img2.doubanio.com/view/subject/s/public/s6987353.jpg
101,解忧杂货店,8.5,东野圭吾,南海出版公司,2014,39.5,https://book.douban.com/subject/25862578/,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg
102,献给阿尔吉侬的花束,9.1,丹尼尔·凯斯,广西师范大学出版社,2015,36,https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg
103,你当像鸟飞往你的山,8.7,塔拉·韦斯特弗,南海出版公司,2019,59,https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg
104,送你一颗子弹,8.6,刘瑜,上海三联书店,2010,25,https://book.douban.com/subject/4238362/,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg
105,史蒂夫·乔布斯传,8.7,沃尔特·艾萨克森,中信出版社,2011,68,https://book.douban.com/subject/6798611/,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg
106,目送,8.6,龙应台,生活·读书·新知三联书店,2009,39,https://book.douban.com/subject/3995526/,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg
107,孩子你慢慢来,8.7,龙应台,生活·读书·新知三联书店,2009,28,https://book.douban.com/subject/4207781/,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg
108,王尔德童话,9.1,奥斯卡·王尔德,译林出版社,2003,6,https://book.douban.com/subject/1119839/,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg
109,冬牧场,9,李娟,新星出版社,2012,29.8,https://book.douban.com/subject/10522856/,https://img2.doubanio.com/view/subject/s/public/s8958901.jpg
110,情书,8.6,岩井俊二,天津人民出版社,2004,18,https://book.douban.com/subject/1080370/,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg
111,离开的，留下的,8.8,埃莱娜·费兰特,人民文学出版社,2017,62,https://book.douban.com/subject/27104959/,https://img2.doubanio.com/view/subject/s/public/s29535271.jpg
112,叫魂,9,孔飞力,生活·读书·新知三联书店上海三联书店,2012,38,https://book.douban.com/subject/10471333/,https://img2.doubanio.com/view/subject/s/public/s9015481.jpg
113,亲爱的安德烈,8.6,龙应台,人民文学出版社,2008,26,https://book.douban.com/subject/3369793/,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg
114,十万个为什么,9.1,无名,少年儿童出版社,1962,30,https://book.douban.com/subject/2160556/,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg
115,倾城之恋,8.7,张爱玲,北京十月文艺出版社,2006,29.8,https://book.douban.com/subject/1985223/,https://img3.doubanio.com/view/subject/s/public/s4638950.jpg
116,金色梦乡,9,伊坂幸太郎,译林出版社,2010,35,https://book.douban.com/subject/5038409/,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg
117,人生的智慧,9.2,叔本华,上海人民,2008,28,https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg
