rank,name,mark,author,publisher,year,price,url,img_url
118,海的女儿,9.1,汉斯·克里斯蒂安·安徒生,上海译文出版社,1978,0.43,https://book.douban.com/subject/1765512/,https://img9.doubanio.com/view/subject/s/public/s4133656.jpg
119,万水千山走遍,8.8,三毛,哈尔滨出版社,2003,13.8,https://book.douban.com/subject/1036490/,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg
120,不能承受的生命之轻,8.5,米兰·昆德拉,上海译文出版社,2003,23,https://book.douban.com/subject/1017143/,https://img1.doubanio.com/view/subject/s/public/s1091698.jpg
121,九州·缥缈录,8.8,江南,新世界出版社,2005,20,https://book.douban.com/subject/1321017/,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg
122,孽子,9.1,白先勇,广西师范大学出版社,2010,46,https://book.douban.com/subject/5337254/,https://img3.doubanio.com/view/subject/s/public/s6240330.jpg
123,苏菲的世界,8.8,乔斯坦·贾德,作家出版社,2007,26,https://book.douban.com/subject/2284311/,https://img3.doubanio.com/view/subject/s/public/s3042670.jpg
124,球状闪电,8.7,刘慈欣,四川科学技术出版社,2005,22,https://book.douban.com/subject/1192090/,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg
125,美的历程,9.2,李泽厚,生活·读书·新知三联书店,2009,43,https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg
126,浮生六记,8.8,沈复,人民文学出版社,1999,5.7,https://book.douban.com/subject/1088581/,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg
127,爱的艺术,8.8,艾·弗洛姆,上海译文出版社,2008,15,https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg
128,经济学原理（上下）,9.1,格里高里·曼昆,机械工业出版社,2003,88,https://book.douban.com/subject/1028842/,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg
129,國史大綱（上下）,9.3,钱穆,商務印書館,2013,76,https://book.douban.com/subject/1046492/,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg
130,野火集,8.8,龙应台,文汇出版社,2005,25,https://book.douban.com/subject/1426971/,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg
131,银河系漫游指南,8.8,道格拉斯·亚当斯,四川科学技术出版社,2005,16,https://book.douban.com/subject/1394364/,https://img3.doubanio.com/view/subject/s/public/s3696740.jpg
132,麦琪的礼物,8.6,欧·亨利,上海社会科学院出版社,2003,25,https://book.douban.com/subject/1051193/,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg
133,民主的细节,8.6,刘瑜,上海三联书店,2009,25,https://book.douban.com/subject/3813669/,https://img1.doubanio.com/view/subject/s/public/s4146437.jpg
134,我也有一个梦想,9,林达,生活·读书·新知三联书店,2004,25,https://book.douban.com/subject/1014825/,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg
135,半生缘,8.6,张爱玲,北京十月文艺出版社,2006,28,https://book.douban.com/subject/1963684/,https://img1.doubanio.com/view/subject/s/public/s2838737.jpg
136,全球通史(上),9.2,斯塔夫里阿诺斯,北京大学出版社,2006,42,https://book.douban.com/subject/1922216/,https://img2.doubanio.com/view/subject/s/public/s28330151.jpg
137,亮剑,8.9,都梁,解放军文艺出版社,2005,28,https://book.douban.com/subject/1088022/,https://img1.doubanio.com/view/subject/s/public/s9950828.jpg
138,古文观止,9.1,吴楚材,中华书局,1987,21,https://book.douban.com/subject/1014561/,https://img2.doubanio.com/view/subject/s/public/s1325863.jpg
139,面纱,8.7,威廉·萨默塞特·毛姆,重庆,2012,32,https://book.douban.com/subject/10560798/,https://img9.doubanio.com/view/subject/s/public/s9038826.jpg
140,四世同堂,9.3,老舍,北京十月文艺出版社,2008,36,https://book.douban.com/subject/3183775/,https://img1.doubanio.com/view/subject/s/public/s3228699.jpg
141,激荡三十年,8.6,吴晓波,中信出版社,2008,32,https://book.douban.com/subject/3151575/,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg
142,你好，旧时光（上 下）,8.7,八月长安,新世界出版社,2009,39.8,https://book.douban.com/subject/4166819/,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg
143,小径分岔的花园,8.9,豪·路·博尔赫斯,上海译文出版社,2015,23,https://book.douban.com/subject/25796120/,https://img1.doubanio.com/view/subject/s/public/s29746559.jpg
144,尼罗河上的惨案,8.7,阿加莎·克里斯蒂,人民文学出版社,2006,22,https://book.douban.com/subject/1818347/,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg
145,牧羊少年奇幻之旅,8.5,保罗·柯艾略,南海出版公司,2009,25,https://book.douban.com/subject/3608208/,https://img1.doubanio.com/view/subject/s/public/s3668327.jpg
146,荆棘鸟,8.6,考琳·麦卡洛,译林出版社,1998,28,https://book.douban.com/subject/1086249/,https://img9.doubanio.com/view/subject/s/public/s1073574.jpg
147,枪炮、病菌与钢铁,8.7,贾雷德·戴蒙德,上海世纪出版集团,2006,45,https://book.douban.com/subject/1813841/,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg
148,我的阿勒泰,8.8,李娟,云南人民出版社,2010,22,https://book.douban.com/subject/4884218/,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg
149,我的天才女友,8.6,埃莱娜·费兰特,人民文学出版社,2017,42,https://book.douban.com/subject/26878124/,https://img1.doubanio.com/view/subject/s/public/s29164777.jpg
150,绿毛水怪,9,王小波,时代文艺出版社,2009,30,https://book.douban.com/subject/3518332/,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg
151,简爱（英文全本）,8.5,夏洛蒂·勃朗特,世界图书出版公司,2003,18,https://book.douban.com/subject/1141406/,https://img9.doubanio.com/view/subject/s/public/s5924326.jpg
152,棋王,8.8,阿城,作家出版社,1999,13,https://book.douban.com/subject/1020961/,https://img1.doubanio.com/view/subject/s/public/s26237958.jpg
153,故事,9.2,罗伯特·麦基,天津人民出版社,2014,68,https://book.douban.com/subject/25976544/,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg
154,昨日的世界,9.2,斯蒂芬·茨威格,广西师范大学出版社,2004,32,https://book.douban.com/subject/1062343/,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg
155,社会心理学,9,戴维·迈尔斯,人民邮电出版社,2006,68,https://book.douban.com/subject/1476651/,https://img2.doubanio.com/view/subject/s/public/s1670932.jpg
156,温柔的夜,9.1,三毛,北京十月文艺出版社,2007,28,https://book.douban.com/subject/2068249/,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg
157,德米安,9,赫尔曼·黑塞,上海人民出版社,2009,25,https://book.douban.com/subject/3578470/,https://img9.doubanio.com/view/subject/s/public/s3979854.jpg
158,倚天屠龙记(共四册),8.6,金庸,三联书店,1999,47,https://book.douban.com/subject/1070851/,https://img1.doubanio.com/view/subject/s/public/s1829709.jpg
159,霸王别姬,9.1,李碧华,人民文学出版社,1999,10.2,https://book.douban.com/subject/1088711/,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg
160,罗生门,8.7,芥川龙之介,上海译文出版社,2008,12,https://book.douban.com/subject/3136271/,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg
161,水浒传（全二册）,8.6,罗贯中,人民文学出版社,1997,50.6,https://book.douban.com/subject/1008357/,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg
162,雨季不再来,8.7,三毛,北京十月文艺出版社,2007,28,https://book.douban.com/subject/2136140/,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg
163,正见,8.8,宗萨蒋扬钦哲仁波切,中国友谊出版公司,2007,25,https://book.douban.com/subject/1963912/,https://img2.doubanio.com/view/subject/s/public/s1993421.jpg
164,一句顶一万句,8.7,刘震云,长江文艺出版社,2009,29.8,https://book.douban.com/subject/3633461/,https://img1.doubanio.com/view/subject/s/public/s6916838.jpg
165,总统是靠不住的,8.8,林达,生活·读书·新知三联书店,2004,21.8,https://book.douban.com/subject/1056315/,https://img9.doubanio.com/view/subject/s/public/s2170316.jpg
166,渴望生活,9.2,欧文·斯通,北京十月文艺出版社,2008,29.8,https://book.douban.com/subject/3054821/,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg
167,一千零一夜,8.7,无名,人民文学出版社,2003,22,https://book.douban.com/subject/1035848/,https://img1.doubanio.com/view/subject/s/public/s1070937.jpg
168,顾城的诗,8.8,顾城,人民文学出版社,1998,20,https://book.douban.com/subject/1033825/,https://img2.doubanio.com/view/subject/s/public/s1024472.jpg
169,万物有灵且美,8.8,吉米·哈利,中国城市出版社,2010,28.8,https://book.douban.com/subject/4187411/,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg
170,茶馆,9,老舍,人民文学出版社,2002,9.8,https://book.douban.com/subject/1036613/,https://img3.doubanio.com/view/subject/s/public/s33516550.jpg
171,最好的我们,8.7,八月长安,湖南文艺出版社,2013,55,https://book.douban.com/subject/24754316/,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg
172,恶意,8.5,东野圭吾,南海出版公司,2009,18,https://book.douban.com/subject/3646172/,https://img9.doubanio.com/view/subject/s/public/s3814606.jpg
173,阿勒泰的角落,9.1,李娟,万卷出版公司,2010,25,https://book.douban.com/subject/4881850/,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg
174,青铜时代,8.7,王小波,花城出版社,1997,29,https://book.douban.com/subject/1085883/,https://img2.doubanio.com/view/subject/s/public/s1072541.jpg
175,罪与罚,9.2,费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006,23,https://book.douban.com/subject/1858568/,https://img9.doubanio.com/view/subject/s/public/s1790246.jpg
176,理想国,8.8,柏拉图,商务印书馆,1986,28,https://book.douban.com/subject/1004821/,https://img9.doubanio.com/view/subject/s/public/s1068535.jpg
177,认识电影,8.9,路易斯·贾内梯,世界图书出版公司,2007,68,https://book.douban.com/subject/2326403/,https://img2.doubanio.com/view/subject/s/public/s28274132.jpg
178,设计中的设计,8.6,原研哉,山东人民出版社,2006,48,https://book.douban.com/subject/1941558/,https://img2.doubanio.com/view/subject/s/public/s2165932.jpg
179,失明症漫记,9.1,若泽·萨拉马戈,南海出版公司,2014,29.5,https://book.douban.com/subject/20428302/,https://img1.doubanio.com/view/subject/s/public/s27217828.jpg
180,雷雨,8.6,曹禺,人民文学出版社,1999,9.2,https://book.douban.com/subject/1013416/,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg
181,上学记,8.9,何兆武,生活·读书·新知三联书店,2006,19.8,https://book.douban.com/subject/1859140/,https://img9.doubanio.com/view/subject/s/public/s1950424.jpg
182,黑客与画家,8.7,保罗·格雷厄姆,人民邮电出版社,2011,49,https://book.douban.com/subject/6021440/,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg
183,此生未完成,8.9,于娟,湖南科技出版社,2011,26,https://book.douban.com/subject/6397275/,https://img2.doubanio.com/view/subject/s/public/s6343233.jpg
184,一桩事先张扬的凶杀案,8.7,加西亚·马尔克斯,南海出版公司,2013,25,https://book.douban.com/subject/24382569/,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg
185,天朝的崩溃,9.1,茅海建,生活·读书·新知三联书店,2005,32,https://book.douban.com/subject/1675478/,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg
186,巨流河,8.7,齐邦媛,生活·读书·新知三联书店,2010,39,https://book.douban.com/subject/4842446/,https://img1.doubanio.com/view/subject/s/public/s4494379.jpg
187,张爱玲文集,8.9,张爱玲,安徽文艺出版社,1992,45,https://book.douban.com/subject/1004992/,https://img9.doubanio.com/view/subject/s/public/s1662165.jpg
188,金锁记,8.6,张爱玲,哈尔滨出版社,2005,13.5,https://book.douban.com/subject/3017857/,https://img9.doubanio.com/view/subject/s/public/s2976745.jpg
189,挪威的森林,8.5,村上春树,上海译文出版社,2007,23,https://book.douban.com/subject/2159042/,https://img1.doubanio.com/view/subject/s/public/s27312538.jpg
190,草房子,9,曹文轩,江苏少年儿童出版社,2009,18,https://book.douban.com/subject/1052990/,https://img3.doubanio.com/view/subject/s/public/s2652540.jpg
191,论语,9.1,无名,中华书局,2006,9.8,https://book.douban.com/subject/1964774/,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg
192,人间草木,9.1,汪曾祺,江苏文艺出版社,2005,20,https://book.douban.com/subject/1253310/,https://img3.doubanio.com/view/subject/s/public/s1201610.jpg
193,老人与海,8.4,欧内斯特·海明威,上海译文出版社,1999,8.2,https://book.douban.com/subject/1064275/,https://img2.doubanio.com/view/subject/s/public/s1050021.jpg
194,从一到无穷大,9.1,乔治·伽莫夫,科学出版社,2002,29,https://book.douban.com/subject/1102715/,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg
195,世界尽头与冷酷仙境,8.6,村上春树,上海译文出版社,2002,23,https://book.douban.com/subject/1291809/,https://img1.doubanio.com/view/subject/s/public/s1801057.jpg
196,香水,8.5,帕·聚斯金德,上海译文出版社,2005,20,https://book.douban.com/subject/1292416/,https://img1.doubanio.com/view/subject/s/public/s1556748.jpg
197,厌女,9,上野千鹤子,上海三联书店,2015,28,https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg
198,影响力,8.6,罗伯特·西奥迪尼,中国人民大学出版社,2006,45,https://book.douban.com/subject/1786387/,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg
199,夏洛的网,8.6,E·B·怀特,上海译文出版社,2004,17,https://book.douban.com/subject/1036274/,https://img1.doubanio.com/view/subject/s/public/s1120437.jpg
200,美丽新世界,9.1,赫胥黎,上海译文出版社,2017,45,https://book.douban.com/subject/27002046/,https://img9.doubanio.com/view/subject/s/public/s29477615.jpg
201,人类的群星闪耀时,8.7,斯蒂芬·茨威格,广西师范大学出版社,2004,18,https://book.douban.com/subject/1083762/,https://img9.doubanio.com/view/subject/s/public/s1134166.jpg
202,我不知道该说什么，关于死亡还是爱情,9.1,S·A·阿列克谢耶维奇,花城出版社,2014,34.8,https://book.douban.com/subject/25884880/,https://img2.doubanio.com/view/subject/s/public/s28313152.jpg
203,ZOO,8.6,乙一,当代世界出版社,2007,20,https://book.douban.com/subject/2297697/,https://img1.doubanio.com/view/subject/s/public/s2756239.jpg
204,中国哲学简史,8.9,冯友兰,新世界出版社,2004,38,https://book.douban.com/subject/1021273/,https://img9.doubanio.com/view/subject/s/public/s1069364.jpg
205,如彗星划过夜空,8.9,林达,生活·读书·新知三联书店,2006,21,https://book.douban.com/subject/1762869/,https://img2.doubanio.com/view/subject/s/public/s1670411.jpg
206,佐贺的超级阿嬷,8.7,岛田洋七,南海出版公司,2007,20,https://book.douban.com/subject/2008284/,https://img2.doubanio.com/view/subject/s/public/s3922462.jpg
207,额尔古纳河右岸,9,迟子建,北京十月文艺出版社,2005,29,https://book.douban.com/subject/3311253/,https://img9.doubanio.com/view/subject/s/public/s3380714.jpg
208,海风中失落的血色馈赠,9.1,阿利斯泰尔·麦克劳德,上海文艺出版社,2015,CNY20.00,https://book.douban.com/subject/26357614/,https://img2.doubanio.com/view/subject/s/public/s28061231.jpg
209,长日将尽,8.9,石黑一雄,上海译文出版社,2018,48,https://book.douban.com/subject/30142261/,https://img3.doubanio.com/view/subject/s/public/s29738720.jpg
210,繁花,8.7,金宇澄,上海文艺出版社,2013,48,https://book.douban.com/subject/22714154/,https://img1.doubanio.com/view/subject/s/public/s26037307.jpg
211,金阁寺,8.7,三岛由纪夫,上海译文出版社,2009,24,https://book.douban.com/subject/3391248/,https://img3.doubanio.com/view/subject/s/public/s3511590.jpg
212,多情剑客无情剑(上、中、下),8.7,古龙,海天出版社,1991,49.8,https://book.douban.com/subject/1422833/,https://img1.doubanio.com/view/subject/s/public/s1641357.jpg
213,哈姆莱特,8.6,威廉·莎士比亚,人民文学出版社,2001,7,https://book.douban.com/subject/1006197/,https://img1.doubanio.com/view/subject/s/public/s27009357.jpg
214,火星救援,8.9,安迪·威尔,译林出版社,2015,38,https://book.douban.com/subject/26586492/,https://img1.doubanio.com/view/subject/s/public/s28284337.jpg
215,骆驼祥子,8.4,老舍,人民文学出版社,2000,12,https://book.douban.com/subject/1043815/,https://img3.doubanio.com/view/subject/s/public/s1146040.jpg
216,强风吹拂,9,三浦紫苑,广西师范大学出版社,2015,39,https://book.douban.com/subject/26210487/,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg
217,你一生的故事,8.7,特德·姜,译林出版社,2015,36,https://book.douban.com/subject/26295448/,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg
218,海底两万里,8.5,儒勒·凡尔纳,译林出版社,2002,19.5,https://book.douban.com/subject/1085470/,https://img9.doubanio.com/view/subject/s/public/s1817666.jpg
219,荒原狼,9,赫尔曼·黑塞,上海译文出版社,2008,13,https://book.douban.com/subject/3131626/,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg
220,稻草人手记,8.9,三毛,北京十月文艺出版社,2009,18,https://book.douban.com/subject/3607117/,https://img1.doubanio.com/view/subject/s/public/s3667048.jpg
221,社会契约论,8.8,卢梭,商务印书馆,2003,18,https://book.douban.com/subject/1277981/,https://img9.doubanio.com/view/subject/s/public/s1314606.jpg
222,步履不停,8.7,是枝裕和,北京联合出版公司,2017,36.8,https://book.douban.com/subject/26963321/,https://img2.doubanio.com/view/subject/s/public/s29425921.jpg
223,克莱因壶,8.8,冈岛二人,化学工业出版社,2019,48,https://book.douban.com/subject/33658616/,https://img1.doubanio.com/view/subject/s/public/s33317677.jpg
224,狂热分子,8.9,埃里克·霍弗,广西师范大学出版社,2011,34,https://book.douban.com/subject/3057556/,https://img1.doubanio.com/view/subject/s/public/s28036829.jpg
225,二手时间,8.8,S.A.阿列克谢耶维奇,中信出版集团,2016,55,https://book.douban.com/subject/26704403/,https://img9.doubanio.com/view/subject/s/public/s28397415.jpg
226,长袜子皮皮,9,阿斯特丽德·林格伦,中国少年儿童出版社,1999,17.8,https://book.douban.com/subject/1004088/,https://img1.doubanio.com/view/subject/s/public/s1290828.jpg
227,别闹了，费曼先生,8.9,理查德·费曼,生活·读书·新知三联书店,1997,22,https://book.douban.com/subject/1037602/,https://img9.doubanio.com/view/subject/s/public/s1027286.jpg
228,了不起的盖茨比,8.7,弗·司各特·菲茨杰拉德,南海出版公司,2012,25,https://book.douban.com/subject/10738023/,https://img9.doubanio.com/view/subject/s/public/s9110246.jpg
229,呼啸山庄,8.4,艾米莉·勃朗特,人民文学出版社,1999,27.3,https://book.douban.com/subject/1119522/,https://img2.doubanio.com/view/subject/s/public/s1095383.jpg
230,心是孤独的猎手,8.5,卡森·麦卡勒斯,上海三联书店,2005,25,https://book.douban.com/subject/1424741/,https://img1.doubanio.com/view/subject/s/public/s1436379.jpg
231,牡丹亭,9,汤显祖,人民文学出版社,1963,14.5,https://book.douban.com/subject/1073708/,https://img9.doubanio.com/view/subject/s/public/s1075414.jpg
232,告白,8.5,凑佳苗,哈尔滨出版社,2010,26,https://book.douban.com/subject/4836682/,https://img3.doubanio.com/view/subject/s/public/s4425090.jpg
233,通往奴役之路,8.8,弗里德利希・冯・哈耶克,中国社会科学出版社,1997,16,https://book.douban.com/subject/1077528/,https://img9.doubanio.com/view/subject/s/public/s8879166.jpg
234,尘埃落定,8.5,阿来,人民文学出版社,1998,22,https://book.douban.com/subject/1080309/,https://img2.doubanio.com/view/subject/s/public/s9140762.jpg
235,欢乐英雄,8.8,古龙,珠海出版社,2005,28,https://book.douban.com/subject/1264579/,https://img1.doubanio.com/view/subject/s/public/s2508587.jpg
236,小姨多鹤,8.6,严歌苓,作家出版社,2008,28,https://book.douban.com/subject/3012517/,https://img1.doubanio.com/view/subject/s/public/s4045138.jpg
237,西方哲学史（上卷）,8.9,伯特兰·罗素,商务印书馆,1963,25,https://book.douban.com/subject/1008189/,https://img1.doubanio.com/view/subject/s/public/s1562997.jpg
238,被讨厌的勇气,8.6,岸见一郎,机械工业出版社,2015,39.8,https://book.douban.com/subject/26369699/,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg
239,消失的13级台阶,8.7,高野和明,上海文艺出版社,2020,42,https://book.douban.com/subject/34996429/,https://img1.doubanio.com/view/subject/s/public/s33623978.jpg
240,世界的凛冬,8.8,肯·福莱特,江苏凤凰文艺出版社,2017,132.00（全三册）,https://book.douban.com/subject/26957760/,https://img1.doubanio.com/view/subject/s/public/s29331058.jpg
241,娱乐至死,8.5,尼尔·波兹曼,广西师范大学出版社,2011,29.8,https://book.douban.com/subject/1062193/,https://img9.doubanio.com/view/subject/s/public/s6776106.jpg
242,长夜难明,8.5,紫金陈,云南人民出版社,2017,42,https://book.douban.com/subject/26923390/,https://img9.doubanio.com/view/subject/s/public/s29179365.jpg
243,当呼吸化为空气,8.8,保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,2016,48,https://book.douban.com/subject/26896859/,https://img2.doubanio.com/view/subject/s/public/s29423902.jpg
244,卓有成效的管理者,8.7,彼得·德鲁克,机械工业出版社,2005,28,https://book.douban.com/subject/1322025/,https://img2.doubanio.com/view/subject/s/public/s1441092.jpg
245,红玫瑰与白玫瑰,8.4,张爱玲,花城出版社,1996,12.8,https://book.douban.com/subject/1014278/,https://img2.doubanio.com/view/subject/s/public/s3695882.jpg
246,陆小凤传奇,8.7,古龙,珠海出版社,2005,94,https://book.douban.com/subject/1089512/,https://img9.doubanio.com/view/subject/s/public/s10169596.jpg
247,心理学与生活,8.8,理查德·格里格,人民邮电出版社,2003,88,https://book.douban.com/subject/1032501/,https://img3.doubanio.com/view/subject/s/public/s1068520.jpg
248,一个人的村庄,8.9,刘亮程,春风文艺出版社,2006,28,https://book.douban.com/subject/1692648/,https://img9.doubanio.com/view/subject/s/public/s9018034.jpg
249,不存在的骑士,8.9,伊塔洛·卡尔维诺,译林出版社,2012,22,https://book.douban.com/subject/6789551/,https://img2.doubanio.com/view/subject/s/public/s8972061.jpg
250,带一本书去巴黎,8.5,林达,生活·读书·新知三联书店,2002,35,https://book.douban.com/subject/1001885/,https://img2.doubanio.com/view/subject/s/public/s3186863.jpg
